M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16
1	0	1	0	1	1	0	0	1	2	2	2	1	2	0	0
0	0	1	1	1	1	0	0	0	2	2	2	2	0	1	0
0	1	1	0	1	0	1	0	0	2	2	2	2	2	2	0
0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0
1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
0	0	1	1	1	0	1	2	2	2	2	2	2	2	2	2
1	0	1	0	0	1	1	2	2	2	2	0	1	2	2	0
0	0	1	1	0	1	0	0	2	2	2	1	1	1	2	0
0	0	0	0	1	1	0	0	0	2	2	1	1	1	0	0
1	0	1	1	1	1	1	2	2	2	2	1	0	2	2	0
1	1	1	0	0	1	0	2	2	2	2	2	1	2	2	0
0	0	1	1	0	1	1	2	2	2	2	2	2	2	2	0
0	1	0	1	1	1	0	0	2	0	0	0	2	2	0	2
1	0	0	0	1	1	1	2	2	2	2	2	1	2	2	0
0	1	0	0	0	0	0	0	0	2	0	2	2	2	0	1
0	1	1	0	1	1	1	1	0	1	2	2	1	2	2	0
1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	3
0	0	1	1	0	1	1	0	2	2	2	0	1	2	2	0
0	1	1	0	1	0	1	0	2	2	2	2	1	2	0	2
0	0	0	1	1	1	0	0	0	2	1	2	2	2	0	0
0	1	0	0	1	1	1	2	2	2	2	2	2	2	0	3
0	0	1	1	1	0	1	2	0	2	2	2	2	2	2	1
0	0	0	0	1	1	1	0	0	1	1	2	1	2	0	0
0	1	0	0	0	0	1	0	0	1	1	2	1	1	0	0
1	1	0	0	0	1	1	0	0	2	0	2	2	0	0	0
1	0	1	1	1	1	1	0	0	2	2	1	1	2	2	0
1	0	0	0	1	1	0	2	1	2	2	2	1	2	0	0
0	1	1	1	0	1	0	0	0	0	2	2	0	0	0	0
0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	1
0	0	0	0	1	1	1	2	0	2	2	2	1	0	2	0
1	1	0	1	1	1	1	2	2	2	2	2	1	1	2	0
0	1	1	0	1	1	1	0	0	2	0	2	2	0	2	0
0	1	0	0	1	0	0	2	0	2	2	1	2	1	2	0
0	0	1	1	1	1	0	0	0	2	2	2	1	1	2	0
1	1	0	0	1	1	1	2	2	2	2	2	1	2	2	0
0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0
1	1	1	0	1	1	1	2	2	2	2	2	2	2	2	1
1	0	1	1	1	1	1	0	0	2	1	1	2	0	2	0
1	0	1	0	1	0	0	1	0	1	1	0	2	2	0	0
0	1	0	1	1	1	1	2	0	2	2	2	1	2	2	0
1	1	1	0	1	1	1	2	2	2	2	2	2	2	2	2
1	0	1	0	1	1	0	2	0	1	2	2	1	2	0	0
0	0	1	0	0	1	0	2	0	2	2	2	2	2	2	2
0	0	1	0	1	1	0	1	2	2	2	2	2	2	2	0
0	0	1	0	0	1	0	0	2	2	2	2	1	2	0	3
0	0	1	0	1	1	1	2	2	2	2	2	2	1	0	0
1	0	0	0	1	0	0	0	2	2	2	2	2	2	2	0
1	0	0	0	0	1	0	2	0	2	2	2	2	2	2	0
1	1	1	0	0	1	0	0	2	2	2	2	1	2	2	3
